nom_en,prix,note,nombre_avis,quantite,unite
Wrinkle Smoothing Eye Cream,65.00,4.5,2343,15,ml
Advanced Super Revitalizing Cream,89.00,4.8,449,50,ml
Uplifting and Firming Cream Enriched,140.00,4.5,455,50,ml
Wrinkle Smoothing Day Cream SPF 23,77.00,4.8,448,50,ml
Clarifying Cleansing Foam (for all skin types),36.00,4.7,522,125,ml
"Treatment Softener Enriched (for normal, dry and very dry skin)",40.00,4.7,155,150,ml
Perfect Cleansing Oil,50.00,4.7,313,300,ml
Energizing Moisturizer,40.00,4.1,56,100,ml
Brightening Gel Cream,75.00,4.7,343,50,ml
Extra Rich Cleansing Foam,65.00,4.8,145,125,ml
Uplifting and Firming Eye Cream,85.00,4.2,65,15,ml
Total Regenerating Cream,232.00,4.7,122,50,ml
Uplifting and Firming Day Cream SPF 30,112.00,4.8,178,50,ml
Overnight Wrinkle Resisting Cream,76.00,4.6,124,50,ml
Eye and Lip Contour Regenerating Cream,155.00,4.7,368,17,ml
Power Infusing Serum,110.00,4.6,2823,50,ml
Eudermine Activating Essence,72.00,4.7,1395,145,ml
Urban Environment Oil-Free Sunscreen SPF 42,50.00,4.6,1764,50,ml
Illuminating Micro-Spot Serum,185.00,4.5,136,50,ml
Skin Filler Serums,295.00,4.6,887,30,ml
Total Protective Cream SPF 20,270.00,4.9,33,50,ml
Concentrated Balancing Softener,110.00,4.9,172,170,ml
NutriPerfect Night Cream,97.00,4.8,81,50,ml
WrinkleResist24 Pure Retinol Express Smoothing Eye Mask,72.00,4.6,540,0,ml
Synchro Skin Radiant Lifting Foundation SPF 30,40.00,4.5,1526,30,ml
Ultimune Power Infusing Serum (Men),71.00,5.0,11,30,ml